PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
12009978;"Instalación Deportiva Municipal Básica Acuario";"";"";"Circuito de vida Pista de patinaje  Acceso libre.";"Metro: El Capricho (línea 5).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e30c5d9606508810VgnVCM1000001d4a900aRCRD";"TROPICO";"CALLE";"V";"10";"";"";"";"C/V CALLE ACUARIO, 27";"MADRID";"MADRID";"28042";"3";"CASCO H.BARAJAS";"21";"BARAJAS";"450824";"4480533";"40.47402643691105";"-3.5801328372492223";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CircuitoVida"
4547664;"Instalación Deportiva Municipal Básica Ademo (Arroyo Fontarrón)";"";"";"Pista de fútbol sala  Acceso libre.";"Metro: Pavones (línea 9).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=06d0c9ba6f391110VgnVCM2000000c205a0aRCRD";"ARROYO FONTARRON";"CALLE";"V";"389";"";"";"";"";"MADRID";"MADRID";"28030";"1";"PAVONES";"14";"MORATALAZ";"445973";"4471845";"40.39546213876536";"-3.6366182195462367";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaFutbolSala"
4554452;"Instalación Deportiva Municipal Básica Alameda de Osuna I";"";"";"2 pistas de baloncesto  Acceso libre.";"Metro: El Capricho (línea 5).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3560735dead1110VgnVCM1000000b205a0aRCRD";"BALANDRO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28042";"1";"ALAMEDA DE OSUNA";"21";"BARAJAS";"449924";"4478011";"40.451251451000815";"-3.5905626839548366";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"
12009559;"Instalación Deportiva Municipal Básica Alameda de Osuna II";"";"";"Pista de fútbol sala Pista de parkour  Acceso libre.";"Metro: El Capricho (línea 5).";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1f599f50bc408810VgnVCM1000001d4a900aRCRD";"ALAMEDA DE OSUNA";"PASEO";"V";"26";"";"";"";"";"MADRID";"MADRID";"28042";"1";"ALAMEDA DE OSUNA";"21";"BARAJAS";"449096";"4478349";"40.45425391757006";"-3.600336224968592";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaFutbolSala"
4555959;"Instalación Deportiva Municipal Básica Alas";"";"";"Pista de baloncesto 3 pistas de bolos y petanca Pista de fútbol sala  Acceso libre.";"Metro: Barajas (línea 8).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d67d5c51350e1110VgnVCM1000000b205a0aRCRD";"ALAS";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28042";"4";"TIMON";"21";"BARAJAS";"450428";"4480316";"40.472046513237736";"-3.5847993053542355";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaBolosPetancaCalvaChito"
4557041;"Instalación Deportiva Municipal Básica Albaicín";"";"";"Pista de fútbol sala Pista de patinaje  Acceso libre.";"Consulta los siguientes enlaces.";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6e518d498a5e1110VgnVCM1000000b205a0aRCRD";"ALBAICIN";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28041";"2";"ORCASUR";"12";"USERA";"440384";"4468880";"40.36836562084534";"-3.7021875351971816";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje"
4557439;"Instalación Deportiva Municipal Básica Albaida";"";"";"Pista de patinaje  Acceso libre.";"Metro: Simancas (línea 7), San Blas (línea 7).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=040cbad143ae1110VgnVCM1000000b205a0aRCRD";"ALBAIDA";"CALLE";"V";"3";"";"";"";"PARQUE SAN BLAS";"MADRID";"MADRID";"28037";"2";"HELLIN";"20";"SAN BLAS-CANILLEJAS";"447392";"4475869";"40.43180082860601";"-3.620229552717278";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPatinaje"
4557476;"Instalación Deportiva Municipal Básica Alerce";"";"";"Pista polideportiva  Acceso libre.";"Consulta los siguientes enlaces.";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42ae586285ae1110VgnVCM1000000b205a0aRCRD";"ALERCE";"CALLE";"V";"31";"";"";"";"JUNTO M-40";"MADRID";"MADRID";"28041";"2";"ORCASUR";"12";"USERA";"440955";"4468510";"40.365063948772985";"-3.695446430865286";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/InstalacionesDeportivasBasicas"
4527220;"Instalación Deportiva Municipal Básica Alfonso XIII";"";"";"2 pistas de baloncesto 2 pistas de bolos y petanca Pista de patinaje  Acceso libre.";"Consulta los siguientes enlaces.";"";"2";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ea63124827ee0110VgnVCM1000000b205a0aRCRD";"ALFONSO XIII";"AVENIDA";"V";"136";"";"";"";"";"MADRID";"MADRID";"28016";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"443267";"4479019";"40.45991170957251";"-3.6691352169675935";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistaBolosPetancaCalvaChito"
4556014;"Instalación Deportiva Municipal Básica Alhaurín";"";"";"Pista de baloncesto 3 pistas de bolos y petanca Campo fútbol 7 de tierra Pista de patinaje  Acceso libre.";"Metro: Barajas (línea 8).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=acda62a9470e1110VgnVCM1000000b205a0aRCRD";"ALHAURIN";"CALLE";"V";"6";"";"";"";"";"MADRID";"MADRID";"28042";"4";"TIMON";"21";"BARAJAS";"450357";"4480479";"40.47351067334567";"-3.585649589064375";"";"";"";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CamposEstadiosFutbol"
