PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
10183549;"Centro Deportivo Municipal Alcántara";"";"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 7 a 23 horas.   Sábados: de 9 a 20 horas. Domingos y festivos: de 9 a 15 horas.   Cierre completo del centro   Los  días 1 de enero, 1 de mayo y 25 de diciembre.";"Clases y escuelas deportivas    Pre-infantiles: matronatación.  Escuelas infantiles: bailes, defensa personal y natación.  Jóvenes y personas adultas: natación.  Mayores de 65 años: natación.  Personas con discapacidad: natación.   Equipamientos     Superficie total de las instalaciones: 3.725 metros cuadrados.   Unidades deportivas cubiertas: piscina (vaso de 25 metros y vaso de enseñanza), sala ciclo, 5 salas multiusos, sauna y spa.   Unidades deportivas al aire libre:  piscina recreo.    Acceso controlado.";"Metro: Lista (línea 4), Manuel Becerra (líneas 2 y 6).  Bicicletas:  El centro dispone de aparca bicicletas exterior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a949235892f28510VgnVCM1000001d4a900aRCRD";"ALCANTARA";"CALLE";"V";"26";"";"";"";"";"MADRID";"MADRID";"28006";"2";"GOYA";"4";"SALAMANCA";"442851";"4475492";"40.42810291538114";"-3.6737317205040503";"917 373 641";"";"alcantara@viding.es";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Sauna"
114782;"Centro Deportivo Municipal Alfredo Goyeneche";"";"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.    Horario de taquilla   De lunes a viernes: de 9 a 21 horas Sábados y domingos: de 9 a 13:30 horas Festivos: cerrado    Cierre completo del centro  Los fines de semana por la tarde, festivos, semana santa, fines de semana del mes de julio, mes de agosto, y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas    Estas son las modalidades deportivas que se ofrecen en los Centros Deportivos Municipales. Dichas modalidades pueden sufrir modificaciones a lo largo del curso. Le rogamos que consulte con su Centro Deportivo Municipal para confirmar si se ha producido algún cambio.   Equipamientos    Superficie total de las instalaciones: 13.505 metros cuadrados.  Unidades deportivas cubiertas: piscina cubierta (vaso de 25 m y vaso de enseñanza), pabellón, 2 salas multiusos y sala musculación.  Unidades deportivas al aire libre: parque de calistenia, 5 pistas de pádel y 2 pistas de tenis.  Ayudas técnicas para la accesibilidad: 1 ascensor, 1 plataforma y 1 grúa de piscina.  Columna de rescate cardíaco.   Acceso controlado.";"Renfe: Aravaca (líneas C7 y C10).  Bicicleta: El centro dispone de aparca bicicletas exterior con capacidad para 5 bicicletas.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=789fe8ae8d81c010VgnVCM1000000b205a0aRCRD";"ARROYO DE POZUELO";"CALLE";"V";"99";"";"";"";"";"MADRID";"MADRID";"28023";"7";"ARAVACA";"9";"MONCLOA-ARAVACA";"433581";"4478234";"40.45212135012858";"-3.783283203719198";"913 571 228";"";"idmagoyeneche@madrid.es";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasTenisBadminton"
4696;"Centro Deportivo Municipal Aluche";"";"Horario de uso de las instalaciones deportivas Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a domingos y festivos de 8:30 a 20:30 horas.   Cierre completo del centro    Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas   Estas son las modalidades deportivas que se ofrecen en los Centros Deportivos Municipales. Dichas modalidades pueden sufrir modificaciones a lo largo del curso. Le rogamos que consulte con su Centro Deportivo Municipal para confirmar si se ha producido algún cambio.   Equipamientos    Superficie total de las instalaciones:  13.960 metros cuadrados  Unidades deportivas cubiertas: pabellón, piscina (vaso de 50 metros y vaso de 25 metros), sala de artes marciales, salas multiusos, sala de musculación y 2 saunas.  Unidades deportivas al aire libre: 2 frontones cortos, campo de fútbol de césped artificial, circuito de seguridad vial, piscina (vaso de gemelas y vaso infantil), pista de atletismo, pista de baloncesto, pista de hockey patines cubierta, 6 pistas de fútbol sala, 4 pistas de pádel, pista de patinaje cubierta, pista de patinódromo, pista polideportiva, 9 pistas de tenis, 2 pistas de voley playa, 10 tenis de mesa y Cubo Gym.  Servicio de medicina deportiva: Acondicionamiento cardiovascular, reconocimientos médicos para deportistas.  Ayudas técnicas para la accesibilidad: 1 grúa de piscina.   Oficina de promoción deportiva: responsable de la coordinación de Juegos deportivos municipales, torneos y circuitos municipales, copas de primavera, información en las escuelas de promoción deportiva.   Columna de rescate cardíaco.   Acceso controlado.";"Metro: Aluche (línea 5).  Cercanías Renfe: Maestra Justa Freire - Polideportivo Aluche (línea C5).   Bicicletas: el centro dispone de aparca bicicletas exterior  con capacidad para 6 bicicletas.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD";"DE LAS AGUILAS";"AVENIDA";"V";"14";"";"";"";"";"MADRID";"MADRID";"28044";"7";"LAS AGUILAS";"10";"LATINA";"434332";"4470525";"40.382720517194784";"-3.773653600881568";"917 062 868";"";"idmaluche@madrid.es";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/TenisMesa"
4678;"Centro Deportivo Municipal Ángel Nieto";"";"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 8:30 a 20:45 horas. Sábados, domingos y festivos cerrado.   Cierre completo del centro   El mes de agosto y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas   Estas son las modalidades deportivas que se ofrecen en los Centros Deportivos Municipales. Dichas modalidades pueden sufrir modificaciones a lo largo del curso. Le rogamos que consulte con su Centro Deportivo Municipal para confirmar si se ha producido algún cambio.   Equipamientos    Superficie total de las instalaciones: 1.565 metros cuadrados.  Unidades deportivas cubiertas: piscina cubierta (vaso de 25 m y vaso de enseñanza), pabellón, 2 salas multiusos, sala de musculación y 4 pistas de squash.  Ayuda técnica para la accesibilidad: 1 grúa de piscina.  Columna de rescate cardíaco.   Acceso controlado.";"Metro: Portazgo (línea 1).  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para 4 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb1b42be9971c010VgnVCM1000000b205a0aRCRD";"PAYASO FOFO";"CALLE";"V";"7";"";"";"";"";"MADRID";"MADRID";"28018";"3";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"443998";"4471417";"40.39146194707861";"-3.6598636029775866";"914 781 492";"";"idmpvallecas@madrid.es";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasSquash"
4624404;"Centro Deportivo Municipal Antonio Díaz Miguel";"";"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 7 a 14:30 y de 15:30 a 22 horas. Sábados: de 9 a 14 y de 15  a 19 horas. Domingos y festivos: 9 a 14 horas.   Cierre completo del centro  Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas   Estas son las modalidades deportivas que se ofrecen en los Centros Deportivos Municipales. Dichas modalidades pueden sufrir modificaciones a lo largo del curso. Le rogamos que consulte con su Centro Deportivo Municipal para confirmar si se ha producido algún cambio.   Equipamientos    Superficie: 8.455,41 metros cuadrados  Unidades deportivas cubiertas: piscina cubierta (vaso de 25 m y vaso de enseñanza), pabellón, sala ciclo, 3 salas multiusos y sala de musculación.  Accesibilidad: instalación adaptada con 2 ascensores y 1 grúa de piscina  Acceso controlado.";"Metro: Ventilla (línea 9).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c90342b9fda34110VgnVCM1000000b205a0aRCRD";"JOAQUIN DICENTA";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28029";"4";"ALMENARA";"6";"TETUAN";"441058";"4480296";"40.471254265861454";"-3.6953256978963807";"913 145 437";"";"idmadm@madrid.es";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/SalaCiclo"
99578;"Centro Deportivo Municipal Barajas";"";"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: mañanas de 8:30 a 9:45 y de 10:15 a 14:00 horas. Tardes de 15 a 19 y de 19:30 a 20:30 horas. Sábados, domingos: de 8:30 a 9:45 y de 10:15 a 14:15 horas.   Cierre completo del centro   Los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas   Estas son las modalidades deportivas que se ofrecen en los Centros Deportivos Municipales. Dichas modalidades pueden sufrir modificaciones a lo largo del curso. Le rogamos que consulte con su Centro Deportivo Municipal para confirmar si se ha producido algún cambio.   Equipamientos    Superficie: 17.346 metros cuadrados.   Unidades deportivas cubiertas: pabellón deportivo, piscina cubierta (vaso de 25 m y vaso de enseñanza), sala multiusos y sala de musculación.  Unidades deportivas al aire libre: Cubo Gym, pista de hockey patines cubierta, 4 pistas de pádel cubiertas, parque de calistenia y 4 pistas de tenis cubiertas.   Oficina de promoción deportiva: responsable de la coordinación de Juegos Deportivos Municipales, Torneos y Circuitos Municipales  y Copas de Primavera. Además, ofrece información sobre las Escuelas de Promoción Deportiva.   Ayudas técnicas para la accesibilidad: 1 ascensor y 1 grúa de piscina.   Columna de rescate cardíaco.   Acceso controlado.";"Metro: Barajas (línea 8), Alameda de Osuna (línea 5).  Bicicleta: el centro dispone de aparcabicicletas exterior con capacidad para 6 bicicletas.";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b86c79262ef5d010VgnVCM1000000b205a0aRCRD";"LOGROÑO";"AVENIDA";"NUM";"70";"";"";"";"";"MADRID";"MADRID";"28042";"1";"ALAMEDA DE OSUNA";"21";"BARAJAS";"450176";"4479315";"40.46301382809657";"-3.587693324074623";"913 290 602";"";"idmbarajas@madrid.es";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasTenisBadminton"
4695;"Centro Deportivo Municipal Blanca Fernández Ochoa";"";"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla de verano   De lunes a domingo, de 9 a 14 y de 14:15 a 20 h. La taquilla podrá cerrar de 10:15 a 10:45 y de 18 a 18:30 horas.   Horario de taquilla de invierno   De lunes a viernes: de 9 a 20 horas. Sábados, domingos y festivos: de 9 a 14:30 horas.   Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas   Estas son las modalidades deportivas que se ofrecen en los Centros Deportivos Municipales. Dichas modalidades pueden sufrir modificaciones a lo largo del curso. Le rogamos que consulte con su Centro Deportivo Municipal para confirmar si se ha producido algún cambio.   Equipamientos    Superficie total de las instalaciones: 33.295 metros cuadrados.  Unidades deportivas cubiertas: piscina cubierta (vaso de 25 m y vaso de enseñanza), pabellón, sala multiusos, sala de musculación y 4 pistas de squash.  Unidades deportivas al aire libre: piscina al aire libre (vaso de 50 m, vaso de recreo y vaso infantil), frontón corto, pista de fútbol sala, 2 pistas de pádel, pista polideportiva cubierta y Cubo Gym.   Oficina de promoción deportiva: juegos deportivos municipales, torneos y circuitos municipales, copas de primavera, información sobre escuelas de promoción deportiva.     Ayudas técnicas de la accesibilidad:  instalación adaptada, con grúa de piscina.     Columna de rescate cardíaco.    Acceso controlado.";"Metro: Carabanchel , Eugenia de Montijo (línea 5).  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para  4  bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=930942be9971c010VgnVCM1000000b205a0aRCRD";"MONSEÑOR OSCAR ROMERO";"CALLE";"V";"41";"";"";"";"";"MADRID";"MADRID";"28025";"4";"VISTA ALEGRE";"11";"CARABANCHEL";"436639";"4470466";"40.38238220944523";"-3.746452142917399";"914 661 278                                                                     
914 661 732";"";"idmblancafo@madrid.es";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PiscinaVerano"
4705;"Centro Deportivo Municipal Casa de Campo";"";"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla:  Horario de invierno, de lunes a viernes, de 9 a 20:30 horas.Horario de verano, de lunes a domingo, de 9:30 a 20:30 horas.  Horario de sala multitrabajo (musculación):  Horario de lunes a viernes, de 9 a 21 horas.  Cierre completo del Centro:  Los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";"Clases y escuelas deportivas   Estas son las modalidades deportivas que se ofrecen en los Centros Deportivos Municipales. Dichas modalidades pueden sufrir modificaciones a lo largo del curso. Le rogamos que consulte con su Centro Deportivo Municipal para confirmar si se ha producido algún cambio.   Equipamientos    Superficie total de las instalaciones: 24.800 metros cuadrados.  Unidades deportivas cubiertas: piscina cubierta (vaso de 25 m y vaso de enseñanza), sala multiusos y sala de musculación.  Unidades deportivas al aire libre:   piscinas al aire libre (2 vasos de recreo y vaso infantil) y     Cubo Gym  .   Ayudas técnicas para la accesibilidad:  2 grúas de piscina.  Acceso controlado.";"Metro: Lago (línea 10), Puerta del Ángel (línea 6).  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 10 bicicletas.  Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3876b0c40971c010VgnVCM1000000b205a0aRCRD";"PUERTA DEL ANGEL";"PASEO";"V";"7";"";"";"";"";"MADRID";"MADRID";"28011";"1";"CASA DE CAMPO";"9";"MONCLOA-ARAVACA";"437768";"4474204";"40.41612628789201";"-3.733536573641621";"914 630 050 / 914 649 889";"";"idmccampo@madrid.es";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PiscinaVerano"
12022187;"Centro Deportivo Municipal Cea Bermúdez";"";"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 7 a 23 horas. Sábados, domingos, festivos: 8:30 a 21:30 horas.   Cierre completo del centro    Días 1 de enero, 1 de mayo y 25 de diciembre.";"Servicio de Asesoriamiento Técnico Personalizado   Clases y escuelas deportivas    Pre-infantil: predeporte.  Infantiles (edad, según modalidades): polideportiva.  Jóvenes y personas adultas: acondicionamiento físico, baile, ciclo sala, gimnasia acuática (aquagym).  Mayores 65 años: acondicionamiento físico y baile.  Personas con discapacidad: natación.   Equipamientos    Superficie total de las instalaciones:    4.808,30 metros cuadrados.  Unidades deportivas cubiertas: piscina cubierta (vaso de 25 m), sala ciclo, pabellón, 2 salas multiusos y sala de musculación.   Ayudas técnicas para la accesibilidad: una grúa móvil para personas con movilidad reducida, 1 ascensor y vestuarios adaptados a personas con discapacidad.  Columna de rescate cardíaco: disponibilidad de desfibriladores semiautomáticos en el recinto deportivo.  Acceso controlado.";"Metro:  Canal (línea 2 y 7) y Ríos Rosas (línea 1).  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones .";"&amp;iexcl;Ya estamos abiertos!  Si quieres inscribirte puedes hacerlo online  AQUÍ";"1,5";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=40d41946bf658810VgnVCM2000001f4a900aRCRD";"CEA BERMUDEZ";"CALLE";"V";"3";"";"";"";"PARQUE MÓVIL";"MADRID";"MADRID";"28003";"2";"ARAPILES";"7";"CHAMBERI";"440114";"4476676";"40.43857964605446";"-3.706107413184514";"918314312";"";"info@cdmceabermudez.com";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/SalaCiclo"
78960;"Centro Deportivo Municipal Centro Integrado Arganzuela";"";"Horario de uso de las instalaciones deportivas   El centro abre de lunes a domingo. Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 8:30 a 20:30 horas. Sábados, domingos y festivos de apertura: de 08:30 a 14:30 horas.   Cierre completo del centro   Mes de agosto, 24, 25 y 31 de diciembre, 1, 6 de enero y 1, 2 de mayo.";"Clases y escuelas deportivas   Estas son las modalidades deportivas que se ofrecen en los Centros Deportivos Municipales. Dichas modalidades pueden sufrir modificaciones a lo largo del curso. Le rogamos que consulte con su Centro Deportivo Municipal para confirmar si se ha producido algún cambio.   Equipamientos    Superficie total de todas las instalaciones: 4.900 metros cuadrados.  Unidades deportivas cubiertas:    piscina cubierta (vaso de 25 m y vaso de enseñanza), f     isio-hidroterapia, p     abellón, s     ala multiusos y s     ala de musculación.     Unidades deportivas al aire libre: 4 pistas de pádel.  Columna de rescate cardíaco: 2.  Servicio de Medicina Deportiva: enfermería (turno de mañana) y fisioterapia (turno de mañana).   Acceso controlado.";"Metro: Palos de la Frontera (línea 3).   Renfe: Delicias (líneas C1 y C10).  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 6 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0fd38ed67151c010VgnVCM2000000c205a0aRCRD";"PALOS DE LA FRONTERA";"CALLE";"V";"40";"";"";"";"";"MADRID";"MADRID";"28045";"6";"PALOS DE LA FRONTERA";"2";"ARGANZUELA";"440991";"4472718";"40.40298456819409";"-3.695392618470702";"915 273 938";"";"idmestacionsur@madrid.es";"/contenido/entidadesYorganismos/CentrosEspaciosDeporte/PistasPadel"
