 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA
50266171;"Ajedrez en los parques: Jornadas 2026";"";"1";"1";"V";"3/7/2026;10/7/2026;17/7/2026;24/7/2026;31/7/2026;7/8/2026;14/8/2026;21/8/2026;28/8/2026;";"2026-04-10 00:00:00.0";"2026-11-20 23:59:00.0";"16:30";"las jornadas están abiertas a todos los públicos, sin ningún tipo de restricciones, y son supervisadas por un monitor de ajedrez. La participación es gratuita, sin que sea necesario inscripción previa.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3047e1509792d910VgnVCM100000891ecb1aRCRD";"Actividades en otros espacios";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6b1e1c2ca0c7910VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b53d8464dad45510VgnVCM1000001d4a900aRCRD";"Jardines de Pablo Sorozábal";"2";"CALLE";"PRINCIPE DE VERGARA";"139";"CHAMARTIN";"EL VISO";"28002";"442450";"4477329";"40.444631112841606";"-3.6786214824583503";"";""
50266634;"Ajedrez en los parques: Jornadas 2026";"";"1";"1";"S";"4/7/2026;11/7/2026;18/7/2026;25/7/2026;1/8/2026;8/8/2026;15/8/2026;22/8/2026;29/8/2026;";"2026-04-11 00:00:00.0";"2026-11-21 23:59:00.0";"11:30";"Las jornadas están abiertas a todos los públicos, sin ningún tipo de restricciones, y son supervisadas por un monitor de ajedrez. La participación es gratuita, sin que sea necesario inscripción previa.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9aa59e76dd92d910VgnVCM100000891ecb1aRCRD";"Actividades en otros espacios";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6b1e1c2ca0c7910VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f4749c2d91fcb610VgnVCM1000001d4a900aRCRD";"Jardines de Gloria Fuertes";"2";"CALLE";"MADRE DE DIOS";"2";"CHAMARTIN";"NUEVA ESPAÑA";"28016";"442761";"4479202";"40.461517637696026";"-3.6751179007317614";"";""
50380484;"Barajas sobre ruedas";"";"1";"0";"";"";"2026-09-20 00:00:00.0";"2026-09-20 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f336ccad5efff910VgnVCM200000f921e388RCRD";"Barajas sobre ruedas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca94ccad5efff910VgnVCM200000f921e388RCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"/usuario/Jovenes,/usuario/Niños"
50389309;"Campeonato del Mundo FIM. X-Trial Madrid 2026";"";"0";"0";"";"";"2026-11-28 00:00:00.0";"2026-11-28 23:59:00.0";"18:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=bf0aa7f03d240a10VgnVCM200000f921e388RCRD";"Campeonato del Mundo FIM. X-Trial Madrid 2026";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9fb6ea75aa240a10VgnVCM200000f921e388RCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas/Ciclismo";""
50407984;"Corre por los ODS 2026";"";"0";"0";"";"";"2026-09-27 00:00:00.0";"2026-09-27 23:59:00.0";"09:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce69100298580a10VgnVCM200000f921e388RCRD";"Corre por los ODS 2026";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9b38100298580a10VgnVCM200000f921e388RCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0a57899a90c7e210VgnVCM2000000c205a0aRCRD";"Parque del Oeste";"2";"PASEO";"CAMOENS Y VALERO";"4";"MONCLOA-ARAVACA";"CASA DE CAMPO";"28008";"438237";"4475938";"40.43179642724134";"-3.7281634896577027";"/contenido/actividades/ActividadesDeportivas";"/usuario/PoblaciónGeneral"
50383839;"Cursos gratuitos de golf, tenis y pádel 2026-2027";"";"1";"1";"L,M,X,J,V,S,D";"";"2026-10-01 00:00:00.0";"2027-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=378ee0a8b0320a10VgnVCM200000f921e388RCRD";"Cursos gratuitos de golf, tenis y pádel 2026-2027";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7b4399a05cf10a10VgnVCM200000f921e388RCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas/Golf";"/usuario/Niños"
50392734;"Duatlón de Barajas";"";"1";"0";"";"";"2026-09-26 00:00:00.0";"2026-09-26 23:59:00.0";"09:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec457ec00a750a10VgnVCM200000f921e388RCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=989d6ddd521d4310VgnVCM2000000c205a0aRCRD";"Instalación Deportiva Municipal Básica Gabriela Mistral";"0";"CALLE";"ARROYO DEL MONTE";"5";"FUENCARRAL-EL PARDO";"FUENTELARREINA";"28049";"437683";"4481905";"40.4855081729451";"-3.735278975476509";"/contenido/actividades/ActividadesDeportivas";""
50390712;"Fútbol Americano NFL: Cincinnati Bengals - Atlanta Falcons";"";"";"0";"";"";"2026-11-08 00:00:00.0";"2026-11-08 00:00:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d1e57937d0840a10VgnVCM100000891ecb1aRCRD";"Fútbol Americano NFL: Cincinnati Bengals - Atlanta Falcons";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb117937d0840a10VgnVCM100000891ecb1aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=96fb79262ef5d010VgnVCM1000000b205a0aRCRD";"Estadio Santiago Bernabéu";"3";"AVENIDA";"CONCHA ESPINA";"1";"CHAMARTIN";"HISPANOAMERICA";"28036";"441618";"4478170";"40.45214975229475";"-3.688509249453467";"/contenido/actividades/ActividadesDeportivas";"/usuario/PoblaciónGeneral"
50389291;"Gran Premio de España de Fórmula 1";"";"0";"1";"V,S,D";"";"2026-09-11 00:00:00.0";"2026-09-13 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4e2dde89eb240a10VgnVCM200000f921e388RCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ebc7f0d23c5f010VgnVCM1000000b205a0aRCRD";"IFEMA MADRID. Institución Ferial de Madrid";"1";"AVENIDA";"PARTENON";"5";"BARAJAS";"CORRALEJOS";"28042";"447742";"4479473";"40.464291747886286";"-3.6163927643499956";"";"/usuario/PoblaciónGeneral"
50386232;"Half Madrid Triatlón 2026";"";"0";"0";"";"";"2026-09-27 00:00:00.0";"2026-09-27 23:59:00.0";"08:15";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9e9a12c32e230a10VgnVCM100000891ecb1aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=482a315919a9e210VgnVCM1000000b205a0aRCRD";"Parque de la Casa de Campo";"2";"PASEO";"PUERTA DEL ANGEL";"1";"MONCLOA-ARAVACA";"CASA DE CAMPO";"28011";"438050";"4474045";"40.41472407139105";"-3.7301857404819767";"/contenido/actividades/ActividadesDeportivas/CarrerasMaratones";""
