Grupo Descuento/Recargo;Mes;Centro deportivo;Distrito;Grupo de actividad deportiva;Sexo;Nº Descuentos
EDAD INFANTIL;2017.01 ENERO;ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;192
EDAD INFANTIL;2017.01 ENERO;ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;189
EDAD INFANTIL;2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ABONO DEPORTE MADRID;MASCULINO;1
EDAD INFANTIL;2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;309
EDAD INFANTIL;2017.01 ENERO;CENTRO INTEGRADO ARGANZUELA;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;325
EDAD INFANTIL;2017.01 ENERO;MARQUÉS DE SAMARANCH;ARGANZUELA                                        ;ABONO DEPORTE MADRID;MASCULINO;4
EDAD INFANTIL;2017.01 ENERO;MARQUÉS DE SAMARANCH;ARGANZUELA                                        ;ABONO DEPORTE MADRID;FEMENINO;3
EDAD INFANTIL;2017.01 ENERO;MARQUÉS DE SAMARANCH;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;478
EDAD INFANTIL;2017.01 ENERO;MARQUÉS DE SAMARANCH;ARGANZUELA                                        ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;536
EDAD INFANTIL;2017.01 ENERO;BARAJAS;BARAJAS                                           ;ABONO DEPORTE MADRID;MASCULINO;3
EDAD INFANTIL;2017.01 ENERO;BARAJAS;BARAJAS                                           ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;BARAJAS;BARAJAS                                           ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;629
EDAD INFANTIL;2017.01 ENERO;BARAJAS;BARAJAS                                           ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;596
EDAD INFANTIL;2017.01 ENERO;LA MINA;CARABANCHEL                                       ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ABONO DEPORTE MADRID;MASCULINO;5
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ABONO DEPORTE MADRID;FEMENINO;1
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;544
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;622
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;MASCULINO;538
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;ACTIVIDADES DEPORTIVAS DIRIGIDAS;FEMENINO;15
EDAD INFANTIL;2017.01 ENERO;PRADILLO;CHAMARTIN                                         ;SERVICIOS DE MEDICINA;MASCULINO;4
