MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
52211;D1750-Deportivas - CALLE DE LA ESTEFANITA 62;17;VILLAVERDE;173;BUTARQUE;;CALLE;ESTEFANITA;62;20166946;CDE;7;ACTIVO
52122;D1251-Deportiva - CALLE DE BEASAIN 45;12;USERA;121;ORCASITAS;01/08/13;CALLE;BEASAIN;45;31030933;CDE;16;ACTIVO
52130;D1350-Deportiva- AVENIDA DE MIGUEL HERNANDEZ 11;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;01/08/13;AVENIDA;MIGUEL HERNANDEZ;11;31045393;CDE;6;ACTIVO
52134;D1354-Deportiva- CALLE DE LEON FELIPE 20;13;PUENTE DE VALLECAS;134;PALOMERAS SURESTE;01/08/13;CALLE;LEON FELIPE;20;11096567;CDE;10;ACTIVO
52141;D1453-Deportiva- CALLE DE ATENAS 6B;14;MORATALAZ;141;PAVONES;01/08/13;CALLE;ATENAS;6B;20129222;CDE;8;ACTIVO
52108;D1150-Deportiva - AUTOVIA  A-42 500SA;11;CARABANCHEL;117;ABRANTES;;AUTOVIA;A-42;500SA;31031213;CDE;36;ACTIVO
52110;D1152-Deportiva - CALLE DEL HALCONERO DEL REY;11;CARABANCHEL;116;BUENAVISTA;;AVENIDA;EURO;12A;31045888;CDE;20;ACTIVO
52111;D1153-Deportiva - CALLE DE FERNANDO DELGADO 8;11;CARABANCHEL;114;VISTA ALEGRE;;CALLE;FERNANDO DELGADO;8;11074893;CDE;6;ACTIVO
52121;D1250-Deportiva - AV. DE LOS POBLADOS, 169;12;USERA;127;PRADOLONGO;01/08/13;AVENIDA;POBLADOS;169;31007159;CDE;6;ACTIVO
52212;D1751-Deportiva - CALLE DE BURJASOT 10;17;VILLAVERDE;172;SAN CRISTOBAL;;CALLE;BURJASOT;6;11126090;CDE;5;ACTIVO
52213;D1753-Deportiva - CALLE DE LA TABERNERA DEL PUERTO 25;17;VILLAVERDE;175;LOS ANGELES;05/04/15;CALLE;LA TABERNERA DEL PUERTO;25;31053320;CDE;3;ACTIVO
52214;D1754-Deportiva - CALLE DE LA TABERNERA DEL PUERTO 69;17;VILLAVERDE;175;LOS ANGELES;05/04/15;CALLE;LA TABERNERA DEL PUERTO;71;31055514;CDE;5;ACTIVO
52215;D1755-Deportiva - CALLE DE LA CANCION DEL OLVIDO 52;17;VILLAVERDE;175;LOS ANGELES;05/04/15;CALLE;LA CANCION DEL OLVIDO;50;11129068;CDE;11;ACTIVO
3569421;D0652-Deportiva- GENERAL PERÓN 5;06;TETUAN;062;CUATRO CAMINOS;01/07/01;AVENIDA;GENERAL PERON;5;11029966;CDE;4;ACTIVO
52123;D1252-Deportiva -CALLE DEL SIMCA 6;12;USERA;121;ORCASITAS;01/08/13;CALLE;SIMCA;6;31001162;CDE;6;ACTIVO
52139;D1451-Deportiva - CALLE DE LA FUENTE CARRANTONA 61;14;MORATALAZ;142;HORCAJO;01/08/13;CALLE;FUENTE CARRANTONA;61;31041857;CDE;14;ACTIVO
4749891;D1551-Deportivo-C VIRGEN DE LLUC 30;15;CIUDAD LINEAL;154;CONCEPCION;01/01/18;CALLE;VIRGEN DE LLUC;30;11109505;CDE;8;ACTIVO
4990656;D0452-Deportiva;04;SALAMANCA;044;GUINDALERA;14/01/19;AVENIDA;BRASILIA;4;31026006;CDE;15;ACTIVO
1118673;D0651-Deportiva- C/ BRAVO MURILLO 107;06;TETUAN;061;BELLAS VISTAS;03/10/16;CALLE;BRAVO MURILLO;107;31050041;CDE;4;ACTIVO
3573466;D1856-Deportiva- CARRETERA DE VILLAVERDE A VALLECAS 289;18;VILLA DE VALLECAS;181;CASCO H.VALLECAS;20/10/13;CARRETERA;VILLAVERDE A VALLECAS;289;20180908;CDE;10;ACTIVO
52045;M0307-Mayores;03;RETIRO;032;ADELFAS;01/01/14;CALLE;FEDERICO MORENO TORROBA;9;31022068;CDE;2;ACTIVO
3568708;D0950-Deportiva;09;MONCLOA-ARAVACA;097;ARAVACA;25/01/06;CALLE;ESCULTOR PERESEJO;60;20063772;CDE;2;ACTIVO
52096;D1050-Deportiva;10;LATINA;103;LUCERO;;CALLE;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;180;20086608;CDE;1;ACTIVO
451569;D1051-Deportiva;10;LATINA;101;LOS CARMENES;;CALLE;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;5;31012806;CDE;3;ACTIVO
451542;D1056-Deportiva;10;LATINA;103;LUCERO;;CALLE;CUART DE POBLET;19;31016351;CDE;8;ACTIVO
451442;D1053-Deportiva;10;LATINA;107;LAS AGUILAS;;CALLE;ROMPEDIZO;15;31008043;CDE;6;ACTIVO
451521;D1054-Deportiva;10;LATINA;104;ALUCHE;;PASEO;EXTREMADURA;351;11068877;CDE;11;ACTIVO
